1.71E-07	0		2.76E-07	0		0	0.0147		0	0
2.05E-03	51.85746716		3.41E-06	0.112995664		0.001	31.8574		0.000137701	4.03294381
4.10E-03	86.15674321		6.53E-06	0.225991327		0.002	52.1296		0.001457818	41.80049318
6.14E-03	117.7693734		1.91E-05	0.677973982		0.003	69.6219		0.005906876	115.965823
8.19E-03	147.2207187		6.91E-05	2.486187443		0.004	86.144		0.012405844	201.3041714
1.02E-02	174.6590393		2.69E-04	9.717061387		0.005	102.0292		0.016524096	227.7156789
1.23E-02	200.0460197		3.50E-04	12.60771391		0.006	117.3578		0.020041026	238.062622
1.43E-02	216.6604717		6.70E-04	23.61736649		0.007	132.1562		0.022424242	243.1187933
1.64E-02	226.489492		9.68E-04	32.21578495		0.008	146.4312		0.024157303	245.95345
1.84E-02	234.4067618		1.10E-03	35.2139177		0.009	160.1961		0.027	244.8352904
2.05E-02	238.8617173		1.48E-03	43.35978782		0.01	173.4607		0.028595238	244.2078119
2.08E-02	239.4983298		1.85E-03	51.23695736		0.011	186.247			
2.11E-02	240.2054329		3.03E-03	71.82790683		0.012	198.5414		MKAPPAN	
2.15E-02	240.7711154		4.17E-03	92.26329281		0.013	208.6553		Con beta variable	
2.18E-02	241.4077464		8.98E-03	164.0487732		0.014	216.054		45º en promedio	
2.21E-02	241.9734283		9.47E-03	171.4026838		0.015	221.5728			
2.24E-02	242.5391102		1.16E-02	200.3940618		0.016	226.4394			
2.28E-02	243.1047922		1.26E-02	211.1420849		0.017	230.949			
2.31E-02	243.5290537		1.32E-02	213.970512		0.018	234.7645			
2.34E-02	244.0237898		1.45E-02	223.8700069		0.019	237.7016			
2.37E-02	244.1648009		1.56E-02	226.698434		0.02	240.0749			
2.41E-02	244.1642275		1.80E-02	233.9109232		0.021	242.2452			
2.44E-02	244.0225604		1.96E-02	239.1435134		0.022	244.1385			
2.47E-02	243.9520035		2.06E-02	241.1234124		0.023	245.4602			
2.50E-02	243.8110744		2.10E-02	241.9719405		0.024	246.1809			
2.54E-02	243.6704742		2.27E-02	244.941789		0.025	246.3182			
2.57E-02	243.4598324		2.30E-02	244.941789		0.026	245.9659			
2.60E-02	243.2497071		2.34E-02	244.5175249		0.027	245.221			
2.63E-02	243.0400996		2.34E-02	244.3761036						
2.67E-02	242.7596548		2.31E-02	244.2346822		MKAPPAF				
2.70E-02	242.5509843		2.32E-02	244.0932609		beta constante = 64º				
			2.22E-02	244.0932609						
XTRACT			2.24E-02	244.2346822						
Con M. Bisección			2.37E-02	244.2346822						
			2.32E-02	244.0932609						
			2.55E-02	243.9518395						
										
			XTRACT							
			Con ArcLength							
