BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


Kxx	Mxx	

Sb1	Sb1	
Mx	Mx	
1/m	kN-m	

0	0	
4.323E-6	.1130	
8.647E-6	.2260	
25.94E-6	.6780	
95.12E-6	2.486	
.3719E-3	9.719	
1.480E-3	38.67	
6.149E-3	157.3	
6.658E-3	169.5	
8.716E-3	219.1	
9.696E-3	239.9	
10.11E-3	248.4	
10.27E-3	251.9	
10.92E-3	265.9	
11.21E-3	271.6	
11.32E-3	274.0	
11.77E-3	283.3	
13.21E-3	290.8	
13.62E-3	293.7	
15.16E-3	305.5	
20.90E-3	315.7	
23.61E-3	319.0	
24.46E-3	320.2	
27.51E-3	325.1	
28.81E-3	327.0	
29.31E-3	327.7	
31.28E-3	330.7	
30.71E-3	328.5	
34.11E-3	327.6	
35.01E-3	326.5	
35.56E-3	325.6	
38.50E-3	319.1	
