BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


Kxx	Mxx	

Sb1	Sb1	
C400 M0º	C400 M0º	
1/m	kN-m	

.3906E-6	0	
2.329E-3	84.26	
4.657E-3	143.5	
6.986E-3	198.7	
9.314E-3	249.7	
11.64E-3	296.2	
13.97E-3	327.2	
16.30E-3	343.0	
18.63E-3	350.8	
20.96E-3	354.8	
23.29E-3	355.3	
23.67E-3	355.4	
24.06E-3	355.4	
24.45E-3	355.4	
24.84E-3	355.5	
25.23E-3	355.5	
25.62E-3	355.5	
26.01E-3	355.5	
26.39E-3	355.3	
26.78E-3	355.1	
27.17E-3	354.6	
27.56E-3	354.0	
27.95E-3	353.4	
28.34E-3	352.6	
28.73E-3	351.5	
29.12E-3	350.3	
29.50E-3	348.9	
29.89E-3	347.3	
30.28E-3	345.2	
30.67E-3	342.9	
31.06E-3	340.2	
