BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


K64	M64	

Sb1	Sb1	
C400 M64	C400 M64	
1/m	kN-m	

.1712E-6	0	
2.048E-3	49.87	
4.096E-3	82.01	
6.144E-3	111.5	
8.192E-3	139.1	
10.24E-3	164.8	
12.29E-3	188.7	
14.34E-3	204.5	
16.38E-3	213.8	
18.43E-3	221.4	
20.48E-3	225.6	
20.81E-3	226.2	
21.13E-3	226.8	
21.46E-3	227.4	
21.78E-3	228.0	
22.11E-3	228.5	
22.43E-3	229.1	
22.76E-3	229.6	
23.08E-3	230.0	
23.41E-3	230.5	
23.73E-3	230.7	
24.06E-3	230.7	
24.38E-3	230.7	
24.71E-3	230.7	
25.04E-3	230.7	
25.36E-3	230.7	
25.69E-3	230.6	
26.01E-3	230.5	
26.34E-3	230.4	
26.66E-3	230.3	
26.99E-3	230.1	
