BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


K45	Mxx	Myy	

Sb1	Sb1	Sb1	
C400 M64 Arc	C400 M64 Arc	C400 M64 Arc	
1/m	kN-m	kN-m	

.2762E-6	0	0	
27.96E-6	.7071	.7071	
.1103E-3	2.811	2.811	
.4398E-3	11.22	11.22	
.5718E-3	14.58	14.58	
1.090E-3	25.30	25.30	
1.307E-3	28.41	28.41	
1.982E-3	38.68	38.68	
4.265E-3	68.77	68.77	
5.278E-3	77.73	77.73	
8.344E-3	111.8	111.8	
9.848E-3	125.2	125.2	
10.46E-3	130.7	130.7	
12.82E-3	152.5	152.5	
14.23E-3	157.2	157.2	
17.59E-3	167.6	167.6	
19.83E-3	169.7	169.7	
20.52E-3	170.4	170.4	
22.66E-3	173.3	173.3	
25.16E-3	172.9	172.9	
