BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


K64	Mxx	Myy	

Sb1	Sb1	Sb1	
C0 M64	C0 M64	C0 M64	
1/m	kN-m	kN-m	

0	0	0	
8.288E-6	49.54E-3	.1016	
16.58E-6	99.08E-3	.2031	
49.76E-6	.2972	.6094	
.1825E-3	1.090	2.235	
.7133E-3	4.261	8.736	
2.839E-3	16.95	34.75	
12.11E-3	69.06	141.6	
12.26E-3	69.61	142.7	
12.68E-3	71.77	147.2	
14.05E-3	76.05	155.9	
14.93E-3	77.39	158.7	
17.19E-3	80.81	165.7	
18.12E-3	82.13	168.4	
21.05E-3	84.55	173.4	
22.36E-3	85.46	175.2	
22.86E-3	85.81	175.9	
24.78E-3	87.20	178.8	
25.60E-3	87.74	179.9	
25.92E-3	87.95	180.3	
27.75E-3	88.18	180.8	
32.32E-3	89.03	182.5	
34.58E-3	89.32	183.1	
34.74E-3	89.18	182.8	
33.77E-3	89.13	182.8	
