BUITRAGO

22/03/2021 10:41:10 a. m.




Sb1


K64	M64	

Sb1	Sb1	
M64	M64	
1/m	kN-m	

0	0	
2.247E-3	34.85	
4.493E-3	69.10	
6.740E-3	102.1	
8.987E-3	133.4	
11.23E-3	162.8	
13.48E-3	178.9	
15.73E-3	190.6	
17.97E-3	199.2	
20.22E-3	206.0	
22.47E-3	208.5	
22.85E-3	208.9	
23.23E-3	209.2	
23.62E-3	209.5	
24.00E-3	209.8	
24.39E-3	210.1	
24.77E-3	210.3	
25.15E-3	210.6	
25.54E-3	210.8	
25.92E-3	211.0	
26.31E-3	211.2	
26.69E-3	211.4	
27.07E-3	211.5	
27.46E-3	211.7	
27.84E-3	211.7	
28.22E-3	211.8	
28.61E-3	211.9	
28.99E-3	211.9	
29.38E-3	211.9	
29.76E-3	211.7	
30.14E-3	211.5	
30.14E-3	211.5	
