BUITRAGO

2/03/2021 6:15:17 a. m.




Sb


Kxx	Mxx	

Sb	Sb	
Mx	Mx	
1/m	kN-m	

0	0	
10.19E-3	4.404	
20.39E-3	8.411	
30.58E-3	13.33	
40.77E-3	17.11	
50.96E-3	22.07	
61.16E-3	22.87	
71.35E-3	22.91	
81.54E-3	21.64	
91.73E-3	22.34	
.1019	22.20	
.1096	22.52	
.1173	22.95	
.1251	22.47	
.1328	22.70	
.1405	22.49	
.1482	23.26	
.1559	22.40	
.1636	23.01	
.1713	23.22	
.1790	23.15	
.1867	23.29	
.1945	23.59	
.2022	22.48	
.2099	22.44	
.2176	23.33	
.2253	22.27	
.2330	23.83	
.2407	23.83	
.2484	25.22	
.2561	26.35	
.2638	28.06	
.2716	29.71	
.2793	29.81	
.2870	29.67	
.2947	30.06	
.2978	30.34	
